tile_id,time,NDVI,NDWI,NDAVI,EVI,SSSII,NDTI,DII
T17RNH,2018-10-18 16:05:11,0.007080379407852888,0.10281083732843399,-0.09311477839946747,,0.11281981319189072,-0.11281981319189072,
T17RNH,2018-11-07 16:05:11,0.021948564797639847,0.07927019149065018,-0.07058746367692947,,0.10337532311677933,-0.10337532311677933,
T17RNH,2018-12-17 16:05:01,0.01842598058283329,0.10317074507474899,-0.09737154096364975,,0.1240881085395813,-0.1240881085395813,
T17RNH,2019-01-06 16:05:11,0.019875768572092056,0.110423743724823,-0.1088784709572792,,0.13317108154296875,-0.13317108154296875,
T17RNH,2019-02-05 16:05:11,0.01309218816459179,0.12129809707403183,-0.11913381516933441,,0.1368698924779892,-0.1368698924779892,
T17RNH,2019-03-27 16:05:11,0.01826302334666252,0.0865955650806427,-0.083824522793293,,0.10660097002983093,-0.10660097002983093,
T17RNH,2019-04-16 16:05:11,0.021322116255760193,0.07964759320020676,-0.05116003751754761,,0.10318432748317719,-0.10318432748317719,
T17RNH,2019-05-06 16:05:21,0.007517809513956308,0.0853704959154129,-0.07373793423175812,,0.09461894631385803,-0.09461894631385803,
T17RNH,2019-05-26 16:05:11,0.022793447598814964,0.047437869012355804,-0.023255065083503723,,0.07202164083719254,-0.07202164083719254,
T17RNH,2019-06-25 16:05:21,0.007696874905377626,0.0926995500922203,-0.08371668308973312,,0.10248138755559921,-0.10248138755559921,
T17RNH,2019-07-15 16:05:21,0.002611555391922593,0.0647498220205307,-0.06213625892996788,,0.06867783516645432,-0.06867783516645432,0.007239079102873802
T17RNH,2019-10-13 16:05:11,-0.0017052091425284743,0.11644793301820755,-0.12187566608190536,,0.11871761083602905,-0.11871761083602905,
T17RNH,2019-11-02 16:05:11,0.023784302175045013,0.08143271505832672,-0.08044541627168655,,0.10730278491973877,-0.10730278491973877,
T17RNH,2019-12-12 16:05:11,0.009749233722686768,0.09910398721694946,-0.1160845085978508,,0.11117644608020782,-0.11117644608020782,
T17RNH,2020-01-21 16:05:11,0.0030456827953457832,0.1324613094329834,-0.1393846571445465,,0.13940803706645966,-0.13940803706645966,
T17RNH,2020-03-21 16:05:11,0.008765648119151592,0.11734339594841003,-0.11535388976335526,,0.12932412326335907,-0.12932412326335907,
T17RNH,2020-04-10 16:05:11,0.012041707523167133,0.08963456004858017,-0.08396457135677338,,0.10311295837163925,-0.10311295837163925,0.014297926798462868
T17RNH,2020-05-20 16:05:21,0.01583719067275524,0.06360439956188202,-0.03541887179017067,,0.08175154030323029,-0.08175154030323029,
T17RNH,2020-06-09 16:05:21,0.006562730297446251,0.07149569690227509,-0.07320229709148407,,0.07965274900197983,-0.07965274900197983,-0.000991729088127613
T17RNH,2020-08-08 16:05:21,0.012791424058377743,0.07309369742870331,-0.06728312373161316,,0.08797768503427505,-0.08797768503427505,
T17RNH,2020-09-27 16:05:21,0.013037237338721752,0.105552077293396,-0.09724529087543488,,0.12109676003456116,-0.12109676003456116,
T17RNH,2020-11-26 16:05:11,-0.008922513574361801,0.14358334243297577,-0.14585815370082855,,0.14116398990154266,-0.14116398990154266,
T17RNH,2021-01-05 16:05:11,0.01652809977531433,0.11793902516365051,-0.12598365545272827,,0.13753780722618103,-0.13753780722618103,
T17RNH,2021-02-04 16:05:11,0.008860617876052856,0.1401582956314087,-0.13582494854927063,,0.15313415229320526,-0.15313415229320526,
T17RNH,2021-03-26 16:05:11,0.015090334229171276,0.09679961949586868,-0.08625659346580505,,0.11438480764627457,-0.11438480764627457,
T17RNH,2021-04-15 16:05:11,0.012510939501225948,0.08395867049694061,-0.08727814257144928,,0.097995325922966,-0.097995325922966,-0.004364036489278078
T17RNH,2021-05-05 16:05:11,0.008569767698645592,0.07784603536128998,-0.06459183990955353,,0.08828765153884888,-0.08828765153884888,
T17RNH,2021-05-25 16:05:11,0.012295765802264214,0.06190960481762886,-0.06830015033483505,,0.07552696019411087,-0.07552696019411087,-inf
T17RNH,2021-06-04 16:05:11,0.003472826676443219,0.07514235377311707,-0.07145532965660095,,0.08032827824354172,-0.08032827824354172,inf
